# English-French dictionary created from OmegaWiki database
# Created on: 2018-06-03T19:46:02+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
9 ; nine	neuf
alcohol	alcool
alcoholism	alcoolisme
alga	algue
algal bloom	prolifération d'algues
algebra	algèbre
algicide ; algaecide	algicide
algorithm	algorithme
alibi	alibi
alicyclic compound	composé alicyclic
alicyclic hydrocarbon	hydrocarbures cycloaliphatiques
alignment	alignement
aliphatic compound	composés aliphatiques
aliphatic hydrocarbon	hydrocarbures aliphatiques
alkali soil	sol alcalin
alkaline ; element of group I ; alkaline metal ; alkali metal	alcalins ; éléments du groupe I ; alcalin ; élément du groupe I
alkaline battery	pile alcaline
alkane ; paraffin ; methane series ; alkane series	alcane
alkyl compound	composé alkylique
all-terrain vehicle	véhicule tout terrain
allegory	allégorie
allergen	allergène
allergy	allergie
allocation ; allotment ; resource allotment	affectation
allocation plan	plan d'affectation
allotropy	allotropie
allowance	allocation
alloy	alliage
alluvial plain	plaine alluviale
alluvion ; flood ; overflowing ; inundation	alluvion
almanac	almanach
almond	amande
almost	presque
alongside ; amongst ; with	avec
alpha radiation	rayonnement alpha
alphabet	alphabet
alternative material	matériau alternatif
alternative technology	technologie "propre"
altitude	altitude
alumina	alumine
aluminium	aluminium
aluminium container	emballage en aluminium
aluminium content	teneur en aluminium
aluminium industry	industrie de l'aluminium
amalgam	amalgame ; amalgame
ambassador	ambassadeur
amber	ambre ; ambre jaune
ambitious	ambitieux
ambulance	ambulance
americium	américium
amethyst	améthyste
amine	amine
amino acid	acide aminé
ammonia	ammoniac
ammonification	ammonisation
ammonium	ammonium
amphetamine	amphétamine
amphibian	batracien
amphitheatre	amphithéâtre
amusement park	parc de loisirs
anaconda	anaconda
anaerobic process	pocessus anaérobie
anaerobic treatment	traitement anaérobie
anagram	anagramme
analogous	analogue
analogy	analogie
analysis	analyse
analysis programme	programme d'analyse
analytical chemistry	chimie analytique
analytical equipment	appareil d'analyse
analytical method	méthode analytique
anarchism	anarchisme
anarchy	anarchie
anatomy	anatomie
anchor	ancre
and	et
and ; as well as ; in addition to ; together with ; too	et ; ainsi que
angel	ange
angiosperm ; flowering plant	angiospermes ; plante à fleur
angling ; fishing ; line-fishing	pêche à la ligne
animal	animal
animal behaviour	comportement animal
animal biology	biologie animale
animal conservatory	réserve pour animaux
animal corridor	couloir d'animaux
animal damage	dégât animal
animal disease	maladie animale
animal displacement	déplacement d'animaux
animal ecology	écologie animale
animal excrement	déjection animale
animal experiment	expérimentation animale
animal foodstuff	aliment pour animaux
animal for slaughter	animal destiné à l'abattage
animal habitat	habitat animal
animal heritage	patrimoine animal
animal husbandry	élevage
animal manure	fumier
animal migration	migration animale
animal noise	bruit dû aux animaux
animal nutrition	nutrition animale
animal physiology	physiologie animale
animal population	population animale
animal product	produit animal
animal production	production animale
animal protection	protection des animaux
animal reproduction	reproduction animale
animal resource	ressource animale
animal rights	droits des animaux
animal shelter	abri pour animaux
animal species	espèce animale
animal species reintroduction	réintroduction d'espèces animales
animal trade	commerce des animaux
animal waste	déchet animal
anime	anime
anion	anion
anise	anis
ankle ; talocrural joint	cheville
annelid	annélides
anniversary	anniversaire
ant	fourmi
antagonism	antagonisme
antelope	antilope
anthropic activity	action anthropique
anthropologic reserve	réserve anthropologique
anthropologist	anthropologue
anthropology	anthropologie
antibiotic	antibiotique
antibody	anticorps
anticipation of danger	anticipation d'un danger
antifouling agent	produit antivégétal
antimony	antimoine
antiparticle	antiparticule
antipollution incentive	incitation à la lutte contre la pollution
antiquated plant	installation ancienne
antiseismic regulation	réglementation parasismique
antithesis	antithèse
antonym	antonyme
anvil	enclume
anytime	toujours
apartheid	apartheid
apartment block	immeuble en copropriété
apathy	apathie
aphorism	aphorisme
apiculture ; beekeeping	apiculture
apoptosis	apoptose
apostle	apôtre
appeal	appel
appeal procedure	procédure d'appel
apple	pomme
apple ; apple tree	pommier
applied ecology	écologie appliquée
applied nutrition	nutrition appliquée
applied research	recherche appliquée
applied science	science appliquée
appraisal	expertise
appreciate	reconnaissant
approach	abords ; approche
appropriate technology	technologie appropriée
approval ; approbation	approbation
approval of installations	homologation d'installations
apricot	abricot
apron	tablier
aquaculture	aquaculture
aquamarine	aigue-marine
aquarium	aquarium
aquatic animal	animal aquatique
aquatic ecology	hydro-écologie
aquatic ecosystem	écosystème aquatique
aquatic environment	milieu aquatique
aquatic mammal	mammifère aquatique
aquatic organism	organisme aquatique
aquatic plant	plante aquatique
aqueduct	aqueduc
aquifer	aquifère
arable farming	culture de champ
arboretum	arboretum
arboriculture	arboriculture
archaeological	archéologique
archaeological site	site archéologique
archaeology ; archeology ; archæology	archéologie
archbishop	archevêque
archduke	archiduc
archeologist ; archaeologist	archéologue
archer ; archer	archer
archetype	archétype
archipelago	archipel
architect	architecte
architecture	architecture
archive	archive
area of potential pollution	zone de pollution potentielle
area under stress	zone sous tension (environnementale)
argon	argon
argument	dispute
arid land	terre aride
aristocracy	aristocratie
arithmetic ; arithmetics	arithmétique
arm	bras
armament	armement
armament conversion	conversion de l'armement
armed forces	forces armées
armistice	armistice
armoury	arsenal
armpit	aisselle
aromatic compound	composé aromatique
aromatic hydrocarbon	hydrocarbure aromatique
aromatic substance	substance aromatique
arrange ; adapt ; adjust ; conform ; accommodate ; suit	adapter
arrangement for a deposit on packaging	mesure en faveur d'une consigne sur les emballages
arrival	arrivée
arrow	flèche
arrowhead	pointe de flèche
arsenic	arsenic
arson	incendie criminel
arsonist	incendiaire
art	art
artery	artère
artful	rusé
arthritis	arthrite
arthropod	arthropodes
artichoke	artichaut
article	article
artificial lake	lac artificiel
artificial reproductive technique	procréacion artificielle
artificial satellite	satellite
artist ; creative person	artiste
asbestos	amiante
asbestos cement	ciment amianté
asbestosis	asbestose
ascendancy	ascendant
ascent	montée ; ascension
ascent	montée
ascertain	établir
ascetic	ascète
ash	cendre
ashamed	honteux
ashen	terreux
ashore	à terre
ashtray	cendrier
asleep	endormi
asparagus	asperge
asphalt	asphalte
aspiration	aspiration
aspirin	aspirine
assassin ; assassinator	assassin
assay	analyse
assemble ; get together ; gather	rassembler
assent	assentiment
assent	donner son accord (à)
assert	affirmer
assert	revendiquer
assertive	assuré
assign	affecter
assignment	mission
assimilate	assimiler
assimilation	assimilation
assist	assister ; aider
association	association
assorted	assorti
assumption ; supposition	supposition
astatine	astate
asterisk	astérisque
asteroid	astéroïde
asthenosphere	asthénosphère
asthma	asthme
astonish	étonner
astonishing	étonnant
astonishment	étonnement
astound	stupéfier
astounding	stupéfiant
astride	à califourchon
astride	les jambes écartées (debout)
astrologer	astrologue
astrology ; star divination	astrologie
astrometry	astrométrie
astronautics	astronautique
astronomer	astronome
astronomy	astronomie
asymptote	asymptote
atheist	athée
atlas	atlas
atmosphere	atmosphère
atmospheric aerosol	aérosol atmosphérique
atmospheric chemistry	chimie de l'atmosphère
atmospheric circulation	circulation atmosphérique
atmospheric component	composant atmosphérique
atmospheric composition	composition de l'atmosphère
atmospheric correction	correction atmosphérique
atmospheric emission	émission atmosphérique
atmospheric fallout	retombée atmosphérique
atmospheric layering	stratification atmosphérique
atmospheric monitoring	surveillance de l'atmosphère
atmospheric ozone	ozone atmosphérique
atmospheric particulate	particule atmosphérique
atmospheric physics	physique atmosphérique
atmospheric pollution	pollution atmosphérique
atmospheric precipitation ; precipitation	précipitation atmosphérique
atmospheric process	phénomène atmosphérique
atmospheric science	science de l'atmosphère
atmospheric structure	structure atmosphérique
atoll	atoll
atom	atome
atomic mass	masse atomique
atractive	séduisant
atrazine	atrazine
atrocity	atrocité
attached	attaché
attachment	attachement
attachment	accessoire
attack	attaque
attain	atteindre
attend	soigner
attend	assister à
attend	prêter attention à
attend	s'occuper de
attendant	gardien
attentive	attentif
attic	grenier
attire	habillement
attire	vêtir
attitude	attitude
attract	attirer
attribute	attribut
auction	enchères ; vente aux enchères
audacious	audacieux
audio-visual presentation	présentation audio-visuelle
audiovisual equipment	matériel audiovisuel
audiovisual media	audiovisuel
audit	audit
augment	augmenter
auspicious	de bon augure
authorisation	autorisation
authoritarian	autoritaire
authoritative	autorisé
authority body	autorité ; corps exécutif
authorship	profession d'écrivain
autocracy	autocratie
autoecology	autoécologie
automobile industry	industrie automobile
autopsy	autopsie
autumn	automne
available	disponible
avalanche	avalanche
avalanche protection	prévention des avalanches
avaricious	avare
avert	prévenir
avert	détourner
aviary	volière
aviation law	loi fédérale de l'aviation
aviculture	aviculture
avid	avide
avifauna	avifaune
awe	crainte
awhile	un moment
axiom	axiome
aye ; yeah ; yep ; yes	oui
baboon	babouin
background level	pollution naturelle de fond
background noise	bruit de fond
background radiation	rayonnement ambiant
bacon	bacon
bacterial bed	lit bactérien
bactericide	bactéricide
bacteriological pollution	pollution bactériologique
bacteriology	bactériologie
bacterium	bactérie
badminton	badminton
bag ; pocket ; steal	voler
bagpipes	comuse ; cornemuse
baker	boulanger
baker ; bakery	boulangerie
baking powder	levure chimique
balance	bilan
balance of matter	bilan matière
balancing of interests	équilibrage des intérêts
ballad	ballade
ballot	élection
ballroom	salle de bal
banana	banane
bank	berge
bank protection	protection des berges
banking	activité bancaire
bankruptcy	banqueroute
barium	baryum
barley	orge
barometer	baromètre
baron	baron
barrier beach	cordon littoral
barrier reef	récif barrière
base	base
baseball ; baseball game	baseball
baseline monitoring	station de référence de surveillance
basement	sous-sol
basic food requirement	besoins alimentaires de base
basicity	basicité
basidiomycete	basidiomycète
basketball ; basketball game	basket ; basketball
bassoon	basson
bastardisation of fauna	introduction d'espèces animales étrangères
bastardisation of flora	introduction d'espèces végétales étrangères
batch process	procédé discontinu
bathing freshwater	eau de baignade douce
bathing seawater	eau de baignade marine
bathing water	eau de baignade
battery	batterie
battery disposal	élimination des batteries
bay	baie
beach	plage
beach cleansing	nettoiement des plages
beak ; mouth	bouche
bean ; edible bean	haricot
bear	ours
beatification	béatification
beaver	castor
bed	lit
bee	abeille
bee conservation	protection des abeilles
beef cattle	bétail de boucherie
beekeeper ; apiculturist	apiculteur
beer	bière
beetle	coléoptère
behaviour	comportement
behaviour of substances	activité des substances
behaviour pattern	modèle de comportement
behavioural science	sciences du comportement
belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus	nombril ; ombilic
beneficial organism	organisme utile
benthic division	domaine benthique
benthos	benthos
benzene	benzène
benzopyrene	benzopyrène
berkelium	berkélium
beryllium ; glucinium	béryllium
beta radiation	rayonnement beta
better	mieux ; meilleur
between	entre
beverage ; drink	boisson ; consommation
beverage ; drink	boisson
beverage industry	industrie des boissons
bibliographic information	information bibliographique
bibliographic information system	système de renseignements bibliographiques
bibliography	bibliographie
bicycle ; bike ; cycle	bicyclette ; vélo ; petite reine
big ; large	grand ; grand ; grande
big game	grand gibier
bilateral	bilatéral
bilateral convention	convention bilaterale
bile	fiel
bilge oil	huile de fond de cale
bilge water	eau de fond de cale
binary star	étoile binaire
bio-availability	biodisponibilité
bioaccumulation	bioaccumulation
bioaccumulative pollutant	polluant bioaccumulatif
biochemical method	méthode biochimique
biochemical oxygen demand	demande biochimique en oxygène
biochemical process	processus biochimique
biochemical substance	substance biochimique
biochemistry	biochimie
biocide	biocide
bioclimatology	bioclimatologie
biocoenosis	biocénose
bioconcentration factor	facteur de bioconcentration
biodegradability	biodégradabilité
biodegradable pollutant	polluant biodégradable
biodegradation	biodégradation
biodiversity	diversité biologique ; biodiversité
bioethics	bioéthique
biofiltration	biofiltration
biofuel	biocarburant
biogas	biogaz
biogeochemical cycle	cycle biogéochimique
biogeographical region	régions biogéographiques
biogeography	biogéographie
biological analysis	analyse biologique
biological attribute	attribut biologique
biological contamination	contamination biologique
biological cycle	cycle biologique
biological development	développement biologique
biological effect	effet biologique
biological effect of pollution	effet biologique de la pollution
biological engineering	génie biologique
biological heritage	patrimoine biologique
biological indicator	indicateur biologique
biological monitoring	surveillance biologique
biological pest control	méthode biologique de lutte contre les nuisibles
biological pollutant	polluant biologique
biological pollution	pollution biologique
biological process	processus bologique
biological production	production biologique
biological reserve ; wildlife reserve	réserve biologique
biological resource	ressource biologique
biological test	test biologique
biological treatment	traitement biologique
biological waste gas purification	épuration biologique des effluents gazeux
biological waste treatment	traitement biologique des déchets
biological wastewater treatment	épuration biologique
biological water balance	bilan hydrologique
biological weapon	arme biologique
biology ; biological science	biologie
bioluminescence	bioluminescence
biomarker	biomarqueur
biomass	biomasse
biomass energy	energie de la biomasse
biome	biome
biophysics	biophysique
bioreactor	bioréacteur
biorhythm	biorythme
biosafety	biosécurité
biosphere	biosphère
biosphere reserve	réserve de biosphère
biosynthesis	biosynthèse
biotechnological hazard	danger biotechnologique
biotechnology	biotechnologie
biotic factor	facteur biotique
biotic index	indice biotique
biotope	biotope
biotope network	réseau de biotope
biotope order	ordonnance des  biotopes
biotope protection	protection de biotope
bird	oiseau
bird of prey	rapace ; oiseau de proie
bird sanctuary	refuge des oiseaux
bird species	espèce d'avifaune
birth ; birth ; birth ; childbirth ; childbirth ; childbirth ; parturition	accouchement ; naissance ; naissance ; naissance ; parturition ; mise-bas ; mise-bas
birth control	régulation des naissances
birthday	anniversaire
bishop	évêque
bismuth	bismuth
bitumen	bitume
black	noir
black ; dark	noir ; sombre ; obscure
black coal ; black coal ; black coal ; anthracite coal	anthracite ; houille
blackbird	merle
blacksmith	forgeron
blast furnace	haut fourneau
bleaching agent	agent de blanchiment
bleaching clay	terre décolorante
bleaching process	processus de blanchiment
blind	aveugle
blister	ampoule ; cloque
blog ; weblog ; web log	blog
blood	sang
blood plasma	plasma sanguin
blue	bleu
blue-green alga ; cyanobacteria	algue bleue ; cyanobacteria ; cyanobactérie
boat	bateau
boating	navigation de plaisance
bocage	bocage
bog	tourbière
bohrium	bohrium
boiler	chaudière
boiling point	point d'ébullition
bonsai	bonsaï
book	livre
bookkeeping	comptabilité
border	bordure ; bordure ; frontière
boron	bore
botanical conservatory	jardin botanique
botanical garden	jardin botanique
botany	botanique
botany ; phytology	botanique
bottle cap	bouchon
boundary	frontière
boundary crossing	transfert transfrontalier
boundary layer	couche limite
bow	arc
boy	garçon
brackish water	eau saumâtre
branch	branche
branch of activity	secteur d'activité
bread	pain
breakfast	petit-déjeuner ; repas du matin
breast milk	lait maternel
breeding	amélioration génétique
breeding bird	oiseaux nicheurs
breeding technique	technique d'élevage
brick	brique
bridge	pont
bring	apporter ; amener
broad-leaved tree	feuillu
