# English-German dictionary created from OmegaWiki database
# Created on: 2018-06-03T19:46:37+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
9 ; nine	neun
non-ionising radiation	nichtionisierende Strahlung
non-metal	Nichtmetall
non-metallic mineral	nichtmetallisches Mineral
non-polluting energy source	umweltfreundliche Energiequelle
non-polluting fuel	umweltfreundlicher Brennstoff
non-renewable energy resource	nichterneuerbare Energieressourcen
non-renewable resource	nichterneuerbare Ressourcen
non-residential building	Nichtwohngebäude
non-returnable container	Einwegverpackung
non-target organism	Nicht-Zielorganismen
non-volatile substance	nichtflüchtiger Stoff
norm	Norm
nose	Nase
nosotros ; we	wir
nostril	Nasenloch ; Nüster
not	nicht
note	Note
nothing	nichts
notice	Vermerk
notification	Meldung
noun ; substantive	Hauptwort ; Substanti ; Substantiv ; Nomen
novel	Roman
nuclear accident	kerntechnischer Unfall ; nuklearer Störfall
nuclear debate	Atomdebatte
nuclear energy	Kernenergie ; Atomenergie
nuclear energy legislation	Kernenergierecht ; Kernenergie-Gesetzgebung
nuclear energy use	Kernenergienutzung ; Nutzung der Kernenergie
nuclear explosion (accident) ; nuclear explosion	Kernexplosion
nuclear facility	kerntechnische Anlage
nuclear fission	Kernspaltung
nuclear fuel	Kernbrennstoff
nuclear fuel element	Brennelement
nuclear fusion	Kernfusion
nuclear hazard	nukleare Gefahr
nuclear physics	Kernphysik ; Nuklearphysik
nuclear power plant	Kernkraftwerk ; Atomkraftwerk
nuclear reaction	Kernreaktion
nuclear reactor	Kernreaktor
nuclear research centre	Kernforschungszentrum
nuclear risk	Atomrisiko
nuclear safety	nukleare Sicherheit
nuclear test	Kernwaffenversuch ; Kernwaffentest ; Atomwaffenversuch ; Nuklearwaffentest ; Atomwaffentest
nuclear weapon	Atomwaffe ; Kernwaffe ; Nuklearwaffe
nucleic acid	Nukleinsäure
nursery (plant breeding) ; nursery ; plant nursery	Pflanzenzuchtbetrieb
nutcracker	Nussknacker
nutrient	Nährstoff
nutrient balance	Nährstoffhaushalt
nutrient content	Nährstoffgehalt
nutrient cycle	Nährstoffzyklus
nutrient medium	Nährmedium
nutrient removal	Nährstoffelimination
nutrition	Ernährung
nutritive value of food	Nährwert
oak	Eiche
obesity	Adipositas
obey	gehorchen
objection	Einwendung ; Protest
obligation to inform	Informationspflicht
obligation to label	Kennzeichnungspflicht
observation	Beobachtung
observation satellite	Beobachtungssatellit
observatory	Sternwarte
obsolete	obsolet
obstacle ; obstruction	Hindernis
occupational disease	Berufskrankheit
occupational health	Arbeitshygiene
occupational health care	Betriebsgesundheitsvorsorge
occupational medicine	Arbeitsmedizin
occupational safety	Arbeitssicherheit
occupational safety regulation	Arbeitsschutzvorschrift
occupational status	beruflicher Status
ocean ; sea ; body of water ; bounding main	Ozean
ocean circulation	ozeanischer Strömungsprozess
ocean current	Meeresströmung
ocean dumping	Verklappung
ocean exploitation	Ausbeutung des Ozeans
ocean temperature	Meerestemperatur
ocean-air interface	Ozean-Luft Schnitstelle
oceanic climate	Meeresklima
oceanography	Ozeanographie
octave	Oktave
octopus	Tintenfisch ; Oktopus
odour	Geruch
off-peak travelling	Fahren außerhalb der Stoßzeiten
off-site	Off-Site
offence against the environment	Umweltdelikt
office	Büro ; Kontor
official duty	Amtspflicht
official hearing	Anhörung
official language	Amtssprache
offset policy (emissions trading)	Offset Policy
offshore mining	Offshore-Erdölbohrung
ohm	Ohm
oil and fat industry	Öle- und Fetteindustrie
oil binding agent	Ölbindemittel
oil boom	Ölsperre
oil disaster	Ölunfall
oil exploration	Ölexploration
oil extraction	Erdölförderung
oil pipeline	Ölfernleitung ; Ölpipeline
oil pollution	Ölverschmutzung ; Erdölverschmutzung
oil pollution abatement	Ölpestbekämpfung ; Ölteppichbeseitigung
oil production (chain)	Ölförderung
oil recovery vessel	Ölauffangschiff
oil refinery	Ölraffinerie
oil residue recuperation	Ölrückstandswiederaufarbeitung
oil slick	Ölteppich
oil spill	Ölunfall
oil tanker	Öltanker
oil-based energy	Energie auf Ölbasis
old hazardous site	Altlast
old landfill site	Altablagerung
olfactory pollution	Geruchsbelastung
oligarchy	Oligarchie
oligopoly	Oligopol
olive	Olive
olive oil mill wastewater	Ölrückstände
omega	Omega
on-line service	Online-Dienst
on-site wastewater treatment	Abwasserbehandlung vor Ort
oncology	Onkologie
one	eins
one	Eins
onion	Zwiebel
ontogenesis ; ontogenesis ; ontogeny	Ontogenese ; Ontogenese
ontology	Ontologie
open lawn	offene Rasenfläche
open sea	Hochsee
open sea fishing	Hochseefischerei
opencast mining ; open-pit mining	Tagebau
opera	Oper
operating data	Betriebsdaten
operetta	Operette
ophthalmology	Augenheilkunde
opinion ; stance	Meinung ; Überzeugung
opinion survey	Meinungsumfrage
opium	Opium
optics	Optik
optimism ; optimism ; optimism ; optimism ; optimism ; optimism ; optimism	Optimismus ; Optimismus ; Optimismus
or	oder ; oder
oral sex	Oralverkehr ; Oralsex
orange	Apfelsine ; Orange
orchestra	Orchester
orchid	Orchidee
order	Ordnung
order	Ordnung ; Anordnung
ordinance	Verordnung
ore	Erz
organ	Organ
organelle	Organell
organic carbon	organischer Kohlenstoff
organic chemistry	organische Chemie
organic farming	biologischer Landbau
organic matter	organische Substanz
organic nitrogen	organischer Stickstoff
organic pollutant	organischer Schadstoff
organic pollution	organische Verunreinigung
organic solvent	organisches Lösungsmittel
organic substance	organischer Stoff
organic waste	organischer Abfall
organisation (law)	Organisation ; organisation
organisation of teaching	Organisation des Unterrichtswesens
organisation of the legal system	Organisation des Rechtssystems
organism	Organismus
organochlorine compound	organische Chlorverbindung
organohalogen compound	organische Halogenverbindung
organoleptic property	organoleptische Eigenschaft
organometallic compound	metallorganische Verbindung
organonitrogen compound	organische Stickstoffverbindung
organooxygen compound	organische Sauerstoffverbindung
organophosphorous compound	organische Phosphorverbindung
organosulphur compound	organische Schwefelverbindung
ornithology	Ornithologie ; Vogelkunde
orography	Orographie
orphan	Waise
orthography	Orthographie ; Rechtschreibung
orthopteran	Orthopteren
osmium	Osmium
osmosis	Osmose
ostrich	Strauß
outer space (allocation plan) ; outer space	Aussenbereich
ovary	Eierstock ; Ovar ; Oophoron
oven	Ofen
overburden	Abraum
overexploitation	Raubbau
overfertilisation	Überdüngung
overfishing	Überfischung
overflow (outlet)	Überlauf
overgrazing	Überweidung
overhead power line	Überlandleitung
overpopulation	Übervölkerung
overturn (limnology)	Zirkulation
overwintering	Überwinterung
ovine	Ovine
owner	Besitzer ; Besitzer ; Eigentümer
ownership	Eigentumsrecht
oxidation	Oxidation
oxidation-reduction	Redoxreaktion
oxide	Oxid
oxidisable material	oxidierbarer Stoff
oxidising agent	Oxidationsmittel
oxygen	Sauerstoff
oxygen content	Sauerstoffgehalt
oxygenation	Sauerstoffeintrag
oyster	Auster
oyster farming	Austernzucht
ozone	Ozon
ozone depletion potential	Ozonabbaupotential
ozone layer	Ozonschicht
ozone layer depletion	Abbau der Ozonschicht
ozonisation	Ozonierung
pacifist	Pazifist
packaging	Verpackung
packaging waste	Verpackungsabfall
packing industry	Verpackungsindustrie
paediatrician	Kinderarzt
page	Seite
paint	Anstrichmittel ; Lack
paint room	Malerwerkstatt
paint shop	Lackiererei ; Lackiererei ; Farbengeschäft ; Farbenhandel ; Farbenhandlung
painting business	Malerbetrieb
palaeoclimatology	Paläoklimatologie
palaeoecology	Paläökologie
palaeontology	Paläontologie
palindrome	Palindrom
palladium	Palladium
palm	Palme
palm	Handfläche
pancreas	Pankreas ; Bauchspeicheldrüse
pandemic	Pandemie
paper	Papier
paper industry	Papierindustrie
parabola	Parabel
parachute	Fallschirm
parameter	Kenngröße ; Parameter
parasite	Parasit ; Schmarotzer
parasitology	Parazitologie ; Parasitologie
parking provision	Parkmöglichkeit
parliamentary debate	parlamentarische Debatte
parliamentary report	parlamentarischer Bericht
parrot	Papagei
part of speech ; lexical category	Wortart ; Wortart ; Wortart
partially halogenated chlorofluorohydrocarbon	H-FCKW
participation	Partizipation
particle	Partikel ; Teilchen
particle separator	Partikelabscheider
party ; political party	politische Partei ; Partei
passenger transport	Personenverkehr
paste-like waste	Pastenartiger Abfall
pasture	Weide ; Weideland
patent	Patent
path	Pfad
pathogen	Krankheitserreger
pathogenic organism	Krankheitserreger
pathologic effect	pathologische Wirkung
pathology	Pathologie
patrimonial management	Erbherrliches Management
pattern recognition	Mustererkennung
pay policy	Lohnpolitik
peace	Frieden ; Friede
peacekeeping	Erhaltung des Friedens
pear	Birne
peat	Torf
peat extraction	Torfabbau
pedagogy	Pädagogik
pedestrian zone ; pedestrian area ; car-free zone ; auto-free zone ; pedestrianised zone	Fußgängerzone
pedosphere	Pedosphäre
penalty	Strafe
penalty for environmental damage	Strafe für Umweltschäden
pencil	Bleistift
penguin	Pinguin
peninsula	Halbinsel
pentachlorophenol	Pentachlorphenol
people	Leute
per capita data	Pro-Kopf-Daten
percolating water	Sickerwasser
perineum	Damm ; Perineum
periodic table	Periodensystem
peripheral park area	Parkrandgebiet
periphyton	Aufwuchs
periurban space	Stadtrandgebiet
permeability	Permeabilität
permissible exposure limit	BAT-Wert
permission	Erlaubnis
peroxyacetylnitrate	Peroxiacetylnitrat
persistant organic pollutant	persistenter organischer Schadstoff
persistence	Persistenz
persistence of pesticides	Pestizidpersistenz
person	Mensch ; Person
personal responsibility	Eigenverantwortung
pessmism	Pessimismus
pest	Schädling
pest control	Schädlingsbekämpfung
pest infestation	Schädlingsbefall
pesticide	Schädlingsbekämpfungsmittel
pesticide control standard	Schädlingsbekämpfungsnorm
pet	Haustier
petition	Petition ; Unterschriftensammlung
petition right	Antragsrecht
petrochemical	Petrochemie ; Petrochemikalie
petrochemical industry	petrochemische Industrie
petrol	Benzin
petroleum	Erdöl ; schwarzes Gold
petroleum consumption	Erdölverbrauch
petroleum industry	Erdölindustrie
phanerogam ; spermatophyte	Phanerogame ; Samenpflanze
pharmaceutical industry	Pharmaindustrie ; pharmazeutische Industrie
pharmaceutical waste	Apothekenabfall
pharmacokinetics	Pharmakokinetik
pharmacology	Pharmakologie
pheasant	Fasan
phenol	Phenol
pheromone	Pheromone
philology	Philologie
philosophy	Philosophie
phishing	Phishing
phobia	Phobie
phone ; telephone	Fernsprecher ; Telefon
phonetics	phonetik ; Phonetik
phosphate	Phosphat
phosphate removal	Phosphatelimination
phosphate substitute	Phosphatersatzstoff
phosphatic fertiliser	Phosphatdünger
phosphorus	Phosphor
photo ; photograph	Photo ; Photographie ; Foto ; Fotografie ; Lichtbild ; Bild
photochemical agent	photochemisches Mittel
photochemical oxidant	Photooxidantien
photochemical pollution	photochemische Verunreinigung
photochemical product	photochemisches Produkt
photochemical reaction	photochemische Reaktion
photochemical smog	photochemischer Smog
photodegradation	Photodegradation
photogrammetry	Photogrammetrie
photography	Photographie ; Fotografie
photon	Photon ; Lichtteilchen ; Lichtquant
photosynthesis	Photosynthese
physical alteration	physikalische Veränderung
physical chemistry	physikalische Chemie
physical conditions	Gesundheitszustand
physical geography	physische Geographie
physical measurement of pollution	physikalische Messung von Verunreinigungen
physical planning	Raumplanung
physical pollutant	physikalischer Schadstoff
physical pollution	physikalische Verunreinigung
physical process	physikalischer Vorgang
physical property	physikalische Kenngröße ; physikalische Eigenschaft
physical science	Naturwissenschaft
physical treatment	physikalische Behandlung
physicochemical analysis	physikalisch-chemische Analyse
physicochemical process	physikalisch-chemische Verfahren ; physikalisch-chemisches Verfahren
physicochemical purification	physikalisch-chemische Reinigung
physicochemical treatment	physikalisch-chemische Behandlung
physics	Physik
physiology	Physiologie
phytomass	Phytomasse
phytopathology	Phytopathologie
phytoplankton	Phytoplankton
phytosanitary treatment	Pflanzenschutzbehandlung
phytosociology	Vegetationskunde
phytotoxicity	Phytotoxizität
piano ; pianoforte	Klavier
pickling plant	Beizerei
pigeon ; dove	Taube
piggery	Schweinestall
pike ; spear	Speer ; Spieß ; Lanze ; Ger
pilot plant	Versuchsanlage
pilot project	Pilotprojekt
pilotage	Lotsendienst
pinniped	Flossenfüsser ; Robben ; Flossenfüßer
pino ; pine	Kiefer
pipe	Rohr
pipeline	Rohrleitung
pituitary gland	Hypophyse
pity ; compassion	Mitleid ; Erbarmen
pixel	Pixel ; Bildpunkt
pizza	Pizza
place ; location	Platz ; Ort
placenta	Plazenta
plain	Ebene
plan	Plan
plane	Ebene ; επίπεδο
plane source	Flächenquelle
planet	Planet ; Wandelstern
plankton	Plankton
planning	Planung
planning law	Planungsrecht
planning measure	Planungsmaßnahme
planning permission	Planfeststellung
plant	Pflanze ; Gewächs
plant biology	Pflanzenbiologie
plant breeding	Pflanzenzucht
plant community	Pflanzengesellschaft
plant component	Pflanzenteil
plant disease	Pflanzenkrankheit
plant ecology	Pflanzenökologie
plant equipment	Anlagenausrüstung
plant heritage	Pflanzenerbgut
plant physiology	Pflanzenphysiologie
plant population	Pflanzenbestand
plant production	Pflanzenproduktion
plant protection	Pflanzenschutz
plant protection product	Pflanzenschutzmittel
plant reproduction	Pflanzenvermehrung
plant resource	pflanzliche Ressourcen
plant selection	Pflanzenauswahl
plant species	Pflanzenart
plant species reintroduction	Wiedereinbürgergung von Pflanzenarten
plant textile fibre	pflanzliche Textilfaser
plant trade	Pflanzenhandel
planting	Bepflanzung
plasma technology	Plasmatechnik
plastic	Plastik
plastic waste	Kunststoffabfall
platinum	Platin
platitude ; cliche ; cliché	Klischee ; Gemeinplatz
pleasure cruising	Kreuzfahrt
plough	Pflug
plutonium ; plutonium ; plutonium	Plutonium ; Plutonium ; Plutonium
point	Punkt
point source	Punktquelle
poison	Gift
poisoning	Vergiftung
polar bear	Eisbär ; Polarbär
polar region	Polargebiet ; Polarzone ; Polarregion
polder	Polder
police	Polizei
police law	Polizeirecht
police power	Polizeimacht
policy	Politik
policy guideline	politische Leitlinie
policy instrument	politisches Instrument
policy integration	Politikvernetzung
policy planning	Politikplanung
political counselling	Politikberatung
political doctrine	politische Lehrmeinung
political ecology	politische Ökologie
political geography	politische Geographie
political ideology	politische Ideologie
political organisation	politische Organisation
political power	politische Macht
politics	Politik
pollen	Pollen
pollutant	Schadstoff
pollutant absorption	Schadstoffaufnahme
pollutant accumulation	Schadstoffakkumulation
pollutant analysis	Schadstoffanalyse
pollutant assessment	Schadstoffbewertung
pollutant concentration	Schadstoffkonzentration
pollutant degradation	Schadstoffabbau
pollutant deposition	Schadstoffdeposition
pollutant dispersion	Schadstoffausbreitung
pollutant distribution	Schadstoffverteilung
pollutant elimination	Schadstoffelimination
pollutant emission	Schadstoffemission
pollutant evolution	Schadstoffentwicklung
pollutant exposure	Schadstoffexposition
pollutant flow	Schadstofffluß
pollutant formation	Schadstoffbildung
pollutant immission	Schadstoffimmission
pollutant immobilisation	Schadstoffimmobilisierung
pollutant migration	Schadstoffwanderung
pollutant monitoring	Schadstoffüberwachung
pollutant pathway	Schadstoffverbleib
pollutant reduction	Schadstoffminderung
pollutant remobilisation	Schadstoffremobilisierung
polluted matter	Schmutzstoff
polluted site	verunreinigter Standort
polluter-pays principle	Verursacherprinzip
pollution	Verunreinigung
pollution abatement	Bekämpfung der Verschmutzung ; Reduzierung der Umweltverschmutzung
pollution abatement equipment	Umweltschutzanlage
pollution abatement waste	Abfallsanierung ; Abfallsanierungsmüll
pollution control	Emissionsminderung
pollution control equipment	Umweltschutzgerät
pollution control investment	Umweltschutzinvestition
pollution control measure	Umweltschutzmaßnahme
pollution control technology	Umweltschutztechnik
pollution cost	Kosten der Verunreinigung
pollution effect	Auswirkung der Verunreinigung
pollution indicator	Verschmutzungsindikator
pollution insurance	Umweltschutzversicherung
pollution liability	Umwelthaftung
pollution load	Schadstoffbelastung
pollution measurement	Schadstoffmessung
pollution monitoring	Umweltmonitoring
pollution norm	Schadstoffnorm
pollution prevention	Verhütung von Umweltverschmutzung
pollution risk	Umweltverschmutzungsrisiko
pollution type	Schadstofftyp
polonium	Polonium
polybrominated biphenyl	Polybrombiphenyl
polychlordibenzo-p-dioxin	polychloriertes Dibenzo-p-Dioxin
polychlorinated biphenyl	Polychlorbiphenyl
polychlorinated dibenzofuran	Polychlordibenzofuran
polychlorinated terphenyl	Polychlorterphenyle
polycyclic aromatic hydrocarbon	polyzyklische aromatische Kohlenwasserstoffe
polycyclic hydrocarbon	polyzyklischer Kohlenwasserstoff
polyethylene terephtalate	Polyäthylenterephtalat
polygon	Polygon
polymer	Polymer
polymerisation	Polymerisation
polyvinyl chloride	Polyvinylchlorid
pomegranate	Granatapfel
pond	Weiher
pool ; puddle ; puddle	Tümpel
pope	Papst
population	Population
population density	Bevölkerungsdichte
population dynamics	Populationsdynamik
population ecology	Populationsökologie
population growth	Bevölkerungswachstum
population movement	Bevölkerungsbewegung
population structure	Bevölkerungsstruktur
population trend	Bevölkerungsentwicklung ; demographische Entwicklung
porcelain	Porzellan
poriferan	Schwämme
posidonia ; neptunegrass	Posidonia
positron	Positron
possession	Besitz
post office	Postamt ; Post ; Postfiliale
post-treatment	Nachbehandlung
posterity	Nachwelt
postman	Briefträger ; Briefzusteller ; Postbote
potash	Pottasche
potassium	Kalium
potassium fertiliser	Kalidünger
potato ; patato	Kartoffel ; Erdapfel ; Speisekartoffel ; Tartuffel ; Krumenbeere ; Grundbirne
poultry	Geflügel
poultry farming	Geflügelfarm
poverty	Armut ; Bedürftigkeit ; Mittellosigkeit ; Besitzlosigkeit
power (physics) ; power	Leistung
power company	Energieversorgungsunternehmen
power station	Kraftwerk
power station derating	Steuerbefreiung von Kraftwerken ; Kraftwerksstillegung ; Kraftwerksstilllegung
power-heat relation	Wärme-Kraft-Beziehung
pragmatics	Pragmatik
praseodymium	Praseodym
pre-emption	Vorkaufsrecht
pre-emption zone	Gebiet mit Vorkaufsrecht
precautionary principle	Vorsorgeprinzip
precipitation ; precipitation (chemical)	Fällung
precipitation enhancement	Niederschlagserhöhung ; Niederschlagszunahme
precision engineering	Feinmechanik
predator	Prädator
prefabricated building	Fertigbau
pregnancy	Schwangerschaft ; Gestation ; Gravidität
prelate	Prälat
preliminary proceedings	Vorverfahren
premium	Prämie
preparation for market	Produktverpackung und-aufmachung
preposition	Präposition ; Verhältniswort ; Vorwort
prescription	Vorschrift
preservation of evidence	Beweissicherung
preservative	Konservierungsmittel
preserve	Konserve
president	Präsident
press	Presse
pressing	Pressen
pressure	Druck
pressure equipment	Überdruckausrüstung
pressure group	Interessengruppe
prevention measure	Vorbeugungsmaßnahme
prevention of forest fires	Waldbrandverhütung
preventive health measure	Gesundheitsvorsorge
preventive information	vorbeugende Information
price	Preis
prices policy	Preispolitik
pricing policy of resources	Preispolitik über Ressourcen
primary education	Primarstufe
primary energy consumption	Primärenergieverbrauch
primary forest	Primärwald
primary sector	Primärsektor
primary treatment	mechanische Abwasserreinigung
primate	Primaten
prime number ; prime	Primzahl
prince	Prinz
principle of sustainability	Nachhaltigkeitsprinzip
printing work	Druckerei
prisoner of war ; POW ; PoW ; PW	Kriegsgefangener
private car	Personenkraftwagen ; Privatauto
private domain	privater Bereich ; Privatgelände ; privates Gebiet
private forest	Privatwald
private household	Privathaushalt
private international law	Internationales Zivilrecht
private law	Privatrecht
private sector	privater Sektor
private transport	Individualverkehr
privatisation	Privatisierung
problem	Problem
proboscidean	Rüsseltiere
procaryote	Procaryota
procedural law	Prozessrecht
process analysis	Verfahrensanalyse
process technology	Verfahrenstechnik
process water	Betriebswasser
processed agricultural produce	landwirtschaftliches Verarbeitungserzeugnis
processed foodstuff	behandeltes Lebensmittel
processing	Verarbeitung
producer liability	Produzentenhaftung
product	Produkt
product advertising	Produktwerbung ; Produktreklame
product comparison	Produktvergleich
product evaluation	Produktbewertung
product identification	Produktkennzeichnung
product information	Produktinformation
product liability	Produkthaftung
product life cycle	Produktlebenszyklus
product standard	Produktnorm
production policy	Produktionspolitik
productivity	Produktivität
productivity trend	Produktivitätsentwicklung
profit	Gewinn ; Profit
prognostic data	Prognosedaten
programme	Programm
progress line	Ganglinie
prohibition	Verbot
project	Projekt
promethium	Promethium
promotion of trade and industry	Wirtschaftsförderung
pronunciation	Aussprache
propagation process	Ausbreitungsvorgang
propellant	Treibstoff
properties of materials	Stoffeigenschaften
property ; asset	Eigentum
property protection	Eigentumsschutz
propulsion technique	Antriebstechnik
prosecution	Strafverfolgung
prosperity	Wohlstand ; Prosperität
prostate	prostata ; Prostata ; Vorsteherdrüse
prostitution	Prostitution
protactinium	Protactinium
protected area	Schutzgebiet
protected landscape	geschützte Landschaft
protected marine zone	Meeresschutzgebiet
protected species	geschützte Arten
protection from neighbours	Nachbarschutz
protection of animals	Tierschutz
protection of birds	Vogelschutz
protection of species	Artenschutz
protection system	Schutzsystem
protective measure	Schutzmaßnahme
protein ; poly peptide	Protein ; Eiweiß
protein product	Eiweißerzeugnis
protocol	Protokoll
protozoan	Protozoen
proverb ; saying ; maxim	Sprichwort
province	Gebiet
provincial/regional authority (D) ; regional authority ; provincial authority	Landesbehörde
provincial/regional law (D) ; regional legislation	Landesrecht
pruning	Beschneiden
psychiatrist	Psychiater
psychic effect	psychische Wirkung
psychological effect	psychologische Wirkung
psychological stress	psychologischer Streß
psychology	Psychologie
psychosomatic effect	psychosomatische Wirkung
psychosomatic illness	psychosomatische Krankheit
public	Öffentlichkeit
public access to land	Öffentliches Zugangsrecht
public action	Öffentliche Maßnahme
public aid	Öffentliche Hilfe
public attendance	Anwesenheit der Öffentlichkeit
public awareness campaign	Öffentlichkeitskampagne
public bath	Badeanstalt
public benefit inquiry	Volksfürsorgeanhörung
public building	Öffentliches Gebäude
public contract	Öffentlichkeit Auftrag
public debt	Öffentliche Schuld
public discussion	Öffentliche Diskussion
public domain	Staatsländereien
public expenditure	Öffentliche Ausgaben
public finance	Öffentliche Finanzen
public financing	Öffentliche Finanzierung
public function	Öffentliches Ereignis ; öffentliche Aufgabe ; gesellschaftliche Funktion
public health	Volksgesundheit
public hearing	Öffentliche Anhörung
public information	Information der Öffentlichkeit
public inquiry	öffentliche Anhörung
public institution	Öffentliche Institution
public institution of administrative nature	Öffentliche Verwaltungseinrichtung
public institution of industrial and commercial nature	Öffentliche Industrie- und Handelseinrichtung
public international law	Völkerrecht
public law	Öffentliches Recht
public maritime domain	Öffentliche Meeresgebietsnutzung
public opinion	Öffentliche Meinung
public opinion polling	Demoskopie
public park	Volkspark
public participation	Bürgerbeteiligung
public procurement	Öffentliche Beschaffung
public prosecutor's office	Staatsanwaltschaft
public relations	Öffentlichkeitsarbeit
public sector	Öffentlicher Sektor ; öffentlicher Sektor
public transport	Öffentlicher Verkehr
public transport vehicle	öffentliches Verkehrsmittel
public utility	Öffentliches Versorgungsunternehmen
public waterways domain	öffentlicher Wasserweg
public works	Öffentliche Arbeit
public-private partnership	öffentlich-private Zusammenarbeit
pulmonary disease	Lungenerkrankung
pump	Pumpe
pumping	Pumpen
purification	Reinigung
purification facility	Reinigungsanlage
purification plant	Reinigungsanlage
purification through the soil	Reinigung durch den Boden
purifying power	Reinigungskraft
purin	Purin
putsch ; coup d'état	Putsch ; Staatsstreich
pyralene	Pyralene
pyrolysis	Pyrolyse
quadrilateral	Viereck
quality assurance	Qualitätssicherung
quality certification	Qualitätszertifizierung
quality control	Qualitätskontrolle
quality objective	Qualitätsziel
quality of life	Lebensqualität
quality standard	Qualitätsnorm
quarry	Steinbruch ; Grube
quarrying	Steinbrucharbeit
quartering	Vierteilen
queen	Königin
question	Frage
rabbi	Rabbiner ; Rabbi
rabbit	Kaninchen
race relations	Rassenbeziehungen
racking	Dekantierung
radar	Radar
radiation ; radiations	Strahlung ; Strahlungen
radiation damage	Strahlenschaden
radiation dose	Strahlendosis
radiation effect	Strahlenwirkung
radiation exposure	Strahlenexposition ; Strahlenbelastung
radiation physics	Strahlenphysik
radiation protection	Strahlenschutz
radiation protection law	Strahlenschutzrecht
radiation sickness	Strahlenkrankheit
radio	Radio
radio programme	Radiosendung
radioactive contamination	radioaktive Verseuchung ; radioaktive Kontaminierung
radioactive decontamination	radioaktive Entseuchung
radioactive dumping	radioaktive Ablagerung
radioactive emission	radioaktive Emission ; Austreten von Radioaktivität
radioactive fallout	Fallout ; Fallout (Radioaktivität) ; radioaktiver Niederschlag
radioactive pollutant	radioaktiver Schadstoff
radioactive substance	radioaktive Substanz
radioactive tracer	radioaktiver Tracer
radioactive waste ; nuclear waste	radioaktiver Abfall ; Atommüll
radioactivity ; radioactive decay	Radioaktivität
radioelement	radioaktives Element
radiology	Radiologie ; Röntgenologie
radionuclide	Radionuklid
radium	Radium
radon	Radon
rag	Alttextilien
rail traffic	Schienenverkehr
rail transport	Eisenbahntransport
railroad vehicle ; carriage ; wagon	Schienenfahrzeug
railway	Eisenbahn
railway network	Eisenbahnnetz ; Schienennetz
railway station	Haltestelle
rain	Plästern ; Regen ; Regenfall ; Regenguß
rain forest	Regenwald
rain water	Niederschlagswasser ; Regenwasser
rain water sewer system	Regenwasserkanalisation
rainbow	Regenbogen
rainout	Rainout
raising a site	Aufschüttung
random test	Stichprobe
rape	Raps
rapid test	Schnelltest
rapid transit train	Schnellbahn
rare species	seltene Art
raster	Raster
raster to vector	Raster zu Vektor
rate	Rate
raw material	Rohstoff
raw material consumption	Rohstoffverbrauch
raw material securing	Rohstoffsicherung
raw water	Rohwasser
reaction kinetics	Reaktionskinetik
reactor	Reaktor
reactor safety	Reaktorsicherheit
read	lesen
reality	Wirklichkeit ; Realität ; πραγματικότητα
reasonableness	Zumutbarkeit
recipe	Rezept
reclamation industry	Rückgewinnungsindustrie
recombinant DNA technology	DNS-Rekombinationstechnik
recommendation	Empfehlung
recorder	Blockflöte
recording of substances	Stoffverzeichnis
recovery of landscape	Landschaftsrückgewinnung
recovery plan	Rückgewinnungsplan
recreation	Erholung
recreational area	Erholungsgebiet
recyclability	Recycelbarkeit
recyclable plastic	recycelbarer Kunststoff
recycled material	Recyclingstoff
recycled paper	Recyclingpapier
recycling	Recycling ; Rezyklierung
recycling management and waste law	Kreislaufwirtschafts- und Abfallgesetz
recycling potential	Recyclingpotential
recycling ratio	Recyclingquote
red kite	Rotmilan ; Roter Milan ; Gabelweihe ; Königsweihe
red tide	Rotschlamm ; Rotschlick
redress	Wiedergutmachung
reed	Schilf
reef	Riff
reference service	Informationsvermittlungsdienst
referendum ; plebiscite	Referendum
referral information	Verweisinformation
referral information system	Verweisinformationssystem
refinery	Raffinerie
refining	Raffination ; Raffinierung
reflection	Reflexion
reflectometry	Reflexionsmessung
reforestation	Wiederaufforstung
refrigerant	Kältemittel
refrigeration	Kühlung
refrigeration industry	Kälteerzeugende Industrie
refrigerator	Kühlschrank
refrigerator ; fridge	Kühlschrank ; Kühlraum
refuge	Refugium
refugee	Flüchtling
refuse collection vehicle	Müllsammelfahrzeug
refuse derived fuel	Brennstoff aus Müll
refuse shredder	Shreddermüll
refuse-sludge compost	Müll-Klärschlamm-Kompost
regeneration	Regeneration
region	Region
regional authority	Regionalbehörde
regional convention	regionale Konvention
regional development	Regionalentwicklung
regional law	Landesrecht
regional natural park	regionaler Naturpark
regional plan	Regionalplan
regional planning	Regionalplanung
regional regulation	regionale Regelung
regional statistics	Regionalstatistik
regional structure	Raumstruktur
registered site	genehmigter Standort
registration	Anmeldung
registration obligation	Anmeldepflicht
registration proceeding	Anmeldeverfahren
regulation	Regulierung
regulation of agricultural production	Lenkung der Agrarproduktion
regulation on maximum permissible limits	Höchstmengenverordnung
regulative law	Ordnungsrecht
rehousing	Umsiedeln
reindeer	Rentier ; Ren
reintroduction	Wiedereinbürgerung
relational database	relationale Datenbank
release of organisms	Freisetzung (Organismen)
relief (land)	Relief
religion	Religion
remote sensing	Fernerkundung
remote sensing centre	Fernerkundungszentrum
removal	Entfernung
